id,listing_url,scrape_id,last_scraped,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
69074,https://www.airbnb.com/rooms/69074,20201025050911,2020-10-25,Beautiful oasis of plants & art @ best location,"An ideal Hong location any visitor--hip without being touristy--this contemporary & newly renovated 1 bedroom apartment has every feature you need for your stay, from a stereo and internet to cooking needs and warm lighting. Enjoy!<br /><br /><b>The space</b><br />Filled with plants and art, this one bedroom urban oasis has been newly renovated and impeccably re-decorated -- warm and inviting in the best of neighborhoods for your stay in Hong Kong.  The art comes from local and regional artists all over Asia and the art & coffee table books are there for your enjoyment during your stay. The custom built desks provide ample working space. A fold out table is adjacent to the kitchen for dining.<br /><br />Before reading further, please kindly note: for those who do not have any or many AirBnB reviews, I do require an full introduction of who you are as this is my personal place.  Also, as this is an AirBnB and not a hotel and I do not charge a cleaning fee, I do politely ask it to be ret","In the upper part of trendy, hip Sheung Wan, within walking distance to all -- a very central and ideal location.   Next to the famous Man Mo Temple and also near many of the the trendiest restaurants in town. Easy walking distance to Central for meetings and a 5 minute walk to the MTR subway system.",https://a0.muscache.com/pictures/84364564/1e0c3fe3_original.jpg,160139,https://www.airbnb.com/users/show/160139,Amy,2010-07-07,Hong Kong,"I've been with AirBnB now for many years, often having guests stay at my apartment in the midst of it all in Hong Kong (and now in the heart of Williamsburg, Brooklyn) and feel that hosting is a true pleasure. I like to receive guests as if they were friends, as we're all travellers at heart. 

I'm an American fine art photographer and I travel often, so would like to offer my place to you while I am not there.  I keep them both clean, stylized and comfortable so you'll feel more at home.

I travel often and often remotely so sometimes it takes a couple days for me to respond but as long as I have wifi I'll get back to you immediately. 

If you are interested, I would be delighted to provide more information about myself directly to you. So please just ask!",within a few hours,100%,50%,t,https://a0.muscache.com/im/users/160139/profile_pic/1294866572/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/160139/profile_pic/1294866572/original.jpg?aki_policy=profile_x_medium,Sheung Wan,2,2,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,t,"Sheung Wan, Hong Kong",Central & Western,,22.28352,114.15018,Entire apartment,Entire home/apt,3,,1 bath,1,2,"[""Shampoo"", ""Bathtub"", ""Lockbox"", ""Carbon monoxide alarm"", ""Stove"", ""Oven"", ""Coffee maker"", ""Wifi"", ""Refrigerator"", ""Dryer"", ""Cooking basics"", ""Long term stays allowed"", ""Breakfast"", ""Essentials"", ""Kitchen"", ""Hair dryer"", ""First aid kit"", ""Air conditioning"", ""Heating"", ""Washer"", ""Laptop-friendly workspace"", ""Smoke alarm"", ""Iron"", ""Hot water"", ""Hangers"", ""Dishes and silverware"", ""Room-darkening shades"", ""Cable TV""]","$1,185.00",3,365,3,4,365,365,3.1,365.0,,t,15,45,75,165,2020-10-25,134,1,0,2011-02-14,2020-03-24,97,10,9,10,10,10,9,,f,1,1,0,0,1.13
75083,https://www.airbnb.com/rooms/75083,20201025050911,2020-10-25,SoHo off Hollywood Road  3B,"Located steps from Hollywood road, with new eateries, art galleries and trendy bars rejuvenating this traditional neighborhood in the heart of the city. The studio and private rooftop garden is guaranteed to add that extra memory to your stay in HK.<br /><br /><b>The space</b><br />Located on Hollywood Road, walking distance to MTR station and Bar and party District Lan Kwai Fong, this apartment to yourself, has wireless internet, cable TV, DVD Player, full bathroom with enclosed newly remodeled shower, 1 double sized bed and one single pullout sofa bed and open kitchen area with and electric cooker.<br /><br />It is close to all sorts of transportation that take you to everywhere you would want to go to in Hong Kong. It is 5 minutes of walking to the Central MTR Station and very close to the foreign friendly district Soho (South of Hollywood Rd). Also, there are 7 Eleven convenient stores near by. In SOHO you will find a large variety of international eateries as well as bars and nigh",,https://a0.muscache.com/pictures/2873745/90c15ec7_original.jpg,304876,https://www.airbnb.com/users/show/304876,Brend,2010-11-30,Hong Kong,I was born in California and raised in Hong Kong. Went to college in the states and returned to Hong Kong a few years ago.  I absolutely love travelling around the region but Hong Kong has always welcomed me home and I look forward to showing off my home town and sharing all the little insights and local specialities with all my guests!,within a few hours,97%,100%,f,https://a0.muscache.com/im/users/304876/profile_pic/1359947330/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/304876/profile_pic/1359947330/original.jpg?aki_policy=profile_x_medium,Sheung Wan,12,12,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",t,t,,Central & Western,,22.28398,114.14839,Entire apartment,Entire home/apt,3,,1 bath,,2,"[""Air conditioning"", ""Kitchen"", ""Heating"", ""TV"", ""Wifi"", ""Cable TV""]",$403.00,14,365,14,14,365,365,14.0,365.0,,t,0,2,2,2,2020-10-25,229,1,0,2011-03-05,2020-04-18,89,8,9,9,9,10,9,,f,13,9,4,0,1.95
103760,https://www.airbnb.com/rooms/103760,20201025050911,2020-10-25,Central Centre 5 min walk to/from Central MTR,"Located right in the heart of Central, this 2 bed room apartment with nice furnishings is the perfect drop spot for a visit to Hong Kong.  Restaurants,shops,antiques,etc.  From traditional to ultra modern part of Hong Kong, everything is within reach<br /><br /><b>The space</b><br />You really can't ask for a better location.  In the middle of Central, Hong Kong Island the apartment is connected to ""the Center"" which the the 15th tallest building in the world, and landscape of Hong Kong.  The apartment is on the 3rd Floor in a traditional Hong Kong building, there is no elevator in the building.<br /><br />Walking distance to the MTR (subway station) and next to bus stops and tram stops.<br /><br />Restaurants, convenient stores, markets and bars all around.<br /><br />This is a 2 Bedroom Apartment with a double pullout sofa bed in the living room so can comfortably sleep 4 adults or 3 couples.<br /><br />There is a full bathroom with separate shower , A full kitchen(very big)with micr",,https://a0.muscache.com/pictures/815221/056993f2_original.jpg,304876,https://www.airbnb.com/users/show/304876,Brend,2010-11-30,Hong Kong,I was born in California and raised in Hong Kong. Went to college in the states and returned to Hong Kong a few years ago.  I absolutely love travelling around the region but Hong Kong has always welcomed me home and I look forward to showing off my home town and sharing all the little insights and local specialities with all my guests!,within a few hours,97%,100%,f,https://a0.muscache.com/im/users/304876/profile_pic/1359947330/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/304876/profile_pic/1359947330/original.jpg?aki_policy=profile_x_medium,Sheung Wan,12,12,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",t,t,,Central & Western,,22.28407,114.1557,Entire apartment,Entire home/apt,6,,1 bath,2,3,"[""Shampoo"", ""Air conditioning"", ""Essentials"", ""Heating"", ""Kitchen"", ""Wifi"", ""Washer"", ""TV"", ""Cable TV""]",$690.00,2,365,2,2,365,365,2.0,365.0,,t,13,43,73,348,2020-10-25,272,7,0,2011-06-19,2020-07-07,89,9,9,10,10,10,9,,f,13,9,4,0,2.39
104626,https://www.airbnb.com/rooms/104626,20201025050911,2020-10-25,Entire Flat - Next to Man Mo Temple,"<b>The space</b><br />Situated in one of Hong Kongâ€™s most prestigious residential districts on Ladder street I try to make my apartment a very peaceful place to leave. Supermarkets, restaurants, bars, and laundries make up this charming neighborhood and Central is just a 5-minute walk on the nearby Midlevel escalator. The walking area allows to you decompressing from the HK noisy lifeâ€™s style. Taxi can be found 10 meters up on Caine road or 300 meters down (for morning busy traffic) on the famous road of Hollywood Road.  <br />â€¢ Double bed in a mezzanine  <br />â€¢ fully equipped Kitchen with an oven <br />â€¢ LCD TV with 3 international programs.   <br />â€¢ Hi-Fi audio system (I-pod just have to be plugged!) <br />â€¢ Wi-Fi free internet access <br />â€¢ Linen and towel furnished <br /> <br />It is important to note the flat is located in a walk-up building and is at the 3rd Floor. Ladder street is a stair stone street too. But you will be only one stair from very famous Caine-Road in Mid-Leve",,https://a0.muscache.com/pictures/1947265/ef01ad3c_original.jpg,544166,https://www.airbnb.com/users/show/544166,Celine,2011-04-29,"Hong Kong Island, Hong Kong","i am Celine Heuls.
i live in Hong KOng Island.
Hong Kong is situated on China's south coast and enclosed by the Pearl River Delta and South China Sea, it is renowned for its expansive skyline and deep natural harbour. With a land mass of (Phone number hidden by Airbnb) sq mi) and a population of seven million people, Hong Kong is one of the most densely populated areas in the world. Hong Kong's population is 95 percent ethnic Chinese and 5 percent from other groups",a few days or more,0%,N/A,f,https://a0.muscache.com/im/users/544166/profile_pic/1317007498/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/544166/profile_pic/1317007498/original.jpg?aki_policy=profile_x_medium,Mid-Levels,0,0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,,Central & Western,,22.28222,114.14834,Entire apartment,Entire home/apt,2,,1.5 baths,1,1,"[""Air conditioning"", ""Kitchen"", ""TV"", ""Wifi"", ""Cable TV""]","$2,574.00",1,365,1,1,365,365,1.0,365.0,,t,30,60,90,365,2020-10-25,14,0,0,2011-07-18,2012-02-06,93,9,10,10,10,10,9,,t,1,1,0,0,0.12
132773,https://www.airbnb.com/rooms/132773,20201025050911,2020-10-25,Fabulous 2 Bdrm Aprt Open kitchen,"Nicely decorated, spacious 2 bedroom apartment in the heart of the city, 1 minute walk from the new Sai Ying Pun MTR exit.  7-11 convenience store downstairs.  If convenience is what you are looking for, this is a great place to call home and start your exploration of traditional Hong Kong.<br /><br /><b>The space</b><br />This is a large 2 Bedroom apartment that is newly renovated, brand new air conditioners in each room and in a great location 2 minutes from Central. Everything you would need with high speed internet, wifi, Cable TV, DVD Player, Flat screen LCD TV, a full kitchen with microwave, stove and electric cooker, and refrigerator. There's a full bath with shower. It is on the top floor of the building and there are 2 working elevators.  In the area, you will find banks, bus stops, tram stops, subway stops, supermarkets, convenient stores and laundry mats all within walking distance from the building.  There are double beds in each bed room and a double pullout sofa bed in th","The Sheung Wan neighbourhood is ever changing and a fantastic mix of ""old' and ""new"" Hong Kong.  This apartment is located in the heart of Hong Kong's commercial, cultural and shopping districts and within short walking distance to the subway and HK Macau Ferry Pier.  A few minutes walk away from the harbour front and the fantastic Sun Yat Sun Memorial Park and Public swimming pool over look the world famous Victoria Harbor.",https://a0.muscache.com/pictures/36936441/e4c1f31d_original.jpg,304876,https://www.airbnb.com/users/show/304876,Brend,2010-11-30,Hong Kong,I was born in California and raised in Hong Kong. Went to college in the states and returned to Hong Kong a few years ago.  I absolutely love travelling around the region but Hong Kong has always welcomed me home and I look forward to showing off my home town and sharing all the little insights and local specialities with all my guests!,within a few hours,97%,100%,f,https://a0.muscache.com/im/users/304876/profile_pic/1359947330/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/304876/profile_pic/1359947330/original.jpg?aki_policy=profile_x_medium,Sheung Wan,12,12,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",t,t,"Hong Kong Island, Hong Kong",Central & Western,,22.28868,114.14494,Entire apartment,Entire home/apt,6,,1 bath,2,3,"[""Heating"", ""Essentials"", ""TV"", ""Cable TV"", ""Wifi"", ""Washer"", ""Air conditioning"", ""Shampoo"", ""Elevator"", ""Kitchen""]",$772.00,2,365,2,2,365,365,2.0,365.0,,t,0,0,0,0,2020-10-25,210,38,2,2015-05-01,2020-10-10,93,10,10,10,10,10,10,,f,13,9,4,0,3.14
163664,https://www.airbnb.com/rooms/163664,20201025050911,2020-10-25,Soho off Hollywood Road P4,"Fun Fact: Possession St, is where the British first landed when they arrived in Hong Kong in 1841, Thus the St Name.<br />This nice 2 bedroom apartment sits at the intersection of old and new Hong Kong. New Bars & restaurants line Hollywood Rd steps away. The apartment is located in a traditional walk up Hong Kong building to the forth floor, no elevator.<br /><br /><b>The space</b><br />Located in the most convenient spot in Hong Kong, it is close to everything and everywhere you would want to or need to go to in Hong Kong. Next to the Sheung Wan MTR Subway station, 7 Eleven, Bank of China, HSBC, Supermarkets, computer center, Sheung Wan produce market, bars, coffee shops, night clubs, main tram station, bus stations (over 30 different bus routes that stop here). Crossing street is Hollywood Road, the foreign friendly district located in Soho, walking distance to the big and beautiful Hollywood Park with fish ponds and beautiful plants and trees. And also close by is Upper Lascar Row ",Fantastic traditional Hong Kong neighborhood with lots of history at every street alley and corner.  Local restaurants are a treat to experience and public transport is all around to get you to all places of the city.,https://a0.muscache.com/pictures/15184030/8d06b40b_original.jpg,304876,https://www.airbnb.com/users/show/304876,Brend,2010-11-30,Hong Kong,I was born in California and raised in Hong Kong. Went to college in the states and returned to Hong Kong a few years ago.  I absolutely love travelling around the region but Hong Kong has always welcomed me home and I look forward to showing off my home town and sharing all the little insights and local specialities with all my guests!,within a few hours,97%,100%,f,https://a0.muscache.com/im/users/304876/profile_pic/1359947330/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/304876/profile_pic/1359947330/original.jpg?aki_policy=profile_x_medium,Sheung Wan,12,12,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",t,t,"Sheung Wan, Hong Kong",Central & Western,,22.28651,114.14874,Entire apartment,Entire home/apt,6,,1 bath,2,3,"[""Shampoo"", ""Air conditioning"", ""Iron"", ""Essentials"", ""Heating"", ""Hot water"", ""Kitchen"", ""Lockbox"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""TV"", ""Hair dryer"", ""Fire extinguisher"", ""Cable TV""]",$690.00,2,365,2,2,365,365,2.0,365.0,,t,30,60,90,365,2020-10-25,223,6,0,2011-08-25,2020-06-17,86,9,9,10,9,10,9,,f,13,9,4,0,2.00
163742,https://www.airbnb.com/rooms/163742,20201025050911,2020-10-25,Soho off Hollywood Road P3,"Fun Fact: Possession St, is where the British first landed when they arrived in Hong Kong in 1841, Thus the St Name.<br />This nice 2 bedroom apartment sits at the intersection of old and new Hong Kong. New Bars & restaurants line Hollywood Rd steps away.  The apartment is located in a traditional walk up Hong Kong building to the third floor, no elevator.<br /><br /><b>The space</b><br />Located in the most convenient spot in Hong Kong, it is close to everything and everywhere you would want to or need to go to in Hong Kong. Next to the Sheung Wan MTR Subway station, 7 Eleven, Bank of China, HSBC, Supermarkets, computer center, Sheung Wan produce market, bars, coffee shops, night clubs, main tram station, bus stations (over 30 different bus routes that stop here). Crossing street is Hollywood Road, the foreign friendly district located in Soho, walking distance to the big and beautiful Hollywood Park with fish ponds and beautiful plants and trees. And also close by is Upper Lascar Row",Fantastic traditional Hong Kong neighborhood with lots of history at every street alley and corner.  Local restaurants are a treat to experience and public transport is all around to get you to all places of the city.,https://a0.muscache.com/pictures/15195137/ff7e10d7_original.jpg,304876,https://www.airbnb.com/users/show/304876,Brend,2010-11-30,Hong Kong,I was born in California and raised in Hong Kong. Went to college in the states and returned to Hong Kong a few years ago.  I absolutely love travelling around the region but Hong Kong has always welcomed me home and I look forward to showing off my home town and sharing all the little insights and local specialities with all my guests!,within a few hours,97%,100%,f,https://a0.muscache.com/im/users/304876/profile_pic/1359947330/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/304876/profile_pic/1359947330/original.jpg?aki_policy=profile_x_medium,Sheung Wan,12,12,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",t,t,"Sheung Wan, Hong Kong",Central & Western,,22.28694,114.14855,Entire apartment,Entire home/apt,6,,1 bath,2,3,"[""Air conditioning"", ""Extra pillows and blankets"", ""Iron"", ""Essentials"", ""Heating"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Hair dryer"", ""Ethernet connection"", ""Wifi"", ""TV"", ""Laptop-friendly workspace"", ""Bed linens"", ""Cable TV""]",$612.00,2,365,2,2,365,365,2.0,365.0,,t,25,55,85,360,2020-10-25,231,11,0,2011-08-11,2020-09-23,86,9,10,10,10,10,9,,f,13,9,4,0,2.06
228510,https://www.airbnb.com/rooms/228510,20201025050911,2020-10-25,Creative Residence in Yau Ma Tei,"Shanghai Street Studios (SSS) have a private room for creative people in Yau Ma Tei.<br /><br />SSS is located on the third floor of a 1960's walk up apartment (""tong lau"") and functions as a creative space for projects that engage with the local community and neighbourhood.<br /><br /><b>The space</b><br />The apartment is equipped with many amenities including a kitchen, air conditioning, washing machine, powerful hot shower, Wi-Fi, an iron, hairdryer, towels, slippers and a nice space that lets in the sunlight (corner apartment windows). <br /><br />We have a library that includes books ranging from Yukio Mishima novels to zines collected from all over the world. The room has some great and non-touristic maps, with fictional stories based in Hong Kong for that encounter with jet-lag. <br /><br />Please note that SSS is relatively noisy at night but we hope that this adds to your cultural experience. Ear plugs come with the room.<br /><br />The neighbourhood:<br /><br />- Friendly an",We'll let you discover the neighbourhood : ),https://a0.muscache.com/pictures/2086906/f0a47cfd_original.jpg,1192493,https://www.airbnb.com/users/show/1192493,Michael,2011-09-21,Hong Kong,"Shanghai Street Studios was founded by Hong Kong photographer Martin Cheung and local designer and beekeeper Michael Leung.

Michael and Martin met each other in Hong Kong in 2009. They worked on a HK Honey project together and founded Shanghai Street Studios in July 2011.",within a day,100%,N/A,f,https://a0.muscache.com/im/users/1192493/profile_pic/1316654211/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1192493/profile_pic/1316654211/original.jpg?aki_policy=profile_x_medium,Mong Kok,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,"Yau Ma Tei, Hong Kong",Yau Tsim Mong,,22.30983,114.16911,Private room in apartment,Private room,2,,1 bath,1,1,"[""Air conditioning"", ""Iron"", ""Essentials"", ""Heating"", ""Hot tub"", ""Kitchen"", ""Hangers"", ""Hair dryer"", ""Washer"", ""Wifi"", ""Laptop-friendly workspace""]",$700.00,1,365,1,1,365,365,1.0,365.0,,t,30,60,90,365,2020-10-25,17,0,0,2011-10-24,2017-02-08,100,10,10,10,10,10,10,,f,1,0,1,0,0.16
248140,https://www.airbnb.com/rooms/248140,20201025050911,2020-10-25,Bright Studio - Soho - Central HK,"Our bright studio apartment is perfect for visiting Hong Kong Island.  <br />Located on a quiet street 10 minutes walk from Soho and the escalator and with all the amenities you need its a perfect space for you to relax after seeing the sights.<br /><br /><b>The space</b><br />Serviced studio apartment in the Centre of Hong Kong in a very quiet street.  Only 5  minutes walk from Staunton Street and the Escalator in Soho. <br /><br />Bright and comfortable with all the amenities you need for both a short trip and a longer stay.<br /><br />TV and sofa with and Apple TV for those with itunes accounts and DVD player and selection of DVDs.  Aircon and fan for the Summer months and a heater for the Winter.  <br /><br />Comfortable double bed and a full kitchen with oven, fridge and microwave should you feel the urge to stay in and cook.  Regular cleaning is included (normally Monday and Thursday).  Real coffee is also ready for you along with a few basics to get you started.<br /><br />Spare",The local neighbourhood is quiet and relaxing.  There is a small park nearby along with a great bakery and coffee shops.  The centre of the city is only a few minutes walk away from this peaceful place.,https://a0.muscache.com/pictures/4e5463bc-38be-4a77-b9b0-fdf68f4eb526.jpg,1300549,https://www.airbnb.com/users/show/1300549,Darren,2011-10-17,Hong Kong,"Hi Everyone,

my Wife and I have this little apartment for friends and family which we let to travelers to Hong Kong when its free.  

We like to look after people and ensure that they enjoy their stay in Hong Kong.  We have someone who will visit every other day to keep the place clean and tidy.  

We can arrange travel cards, maps and local SIMs for you upon arrival if you need and will meet you at the door or provide a self check in option depending on your needs.

We will be available on the phone during your stay to help with whatever you need and make sure that you enjoy your stay.  If you need an unlocked phone for your stay we are happy to lend you one.

The apartment is 5 minutes walk from Soho and the Elevator and it puts you right in the middle of the main bar/restaurant area of Hong Kong Island.  You will not want to spend much time in the apartment as everything is so close by.  However, for those days when you just want to sit and relax though we have a pile of DVDs and can lend you a few games if you need.

And, if you are a sailor, we are members of the RHKYC and can make some introductions if you want.

hope to see you in Hong Kong soon.

Darren and Annalisa",within an hour,100%,55%,t,https://a0.muscache.com/im/users/1300549/profile_pic/1363601545/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1300549/profile_pic/1363601545/original.jpg?aki_policy=profile_x_medium,Sheung Wan,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,t,"Sheung Wan, Hong Kong",Central & Western,,22.28291,114.15137,Entire apartment,Entire home/apt,2,,1 bath,1,1,"[""Shampoo"", ""Lockbox"", ""Carbon monoxide alarm"", ""Oven"", ""Coffee maker"", ""Wifi"", ""Refrigerator"", ""Cooking basics"", ""Breakfast"", ""Essentials"", ""Kitchen"", ""Hair dryer"", ""Air conditioning"", ""Microwave"", ""Heating"", ""Elevator"", ""TV"", ""Laptop-friendly workspace"", ""Smoke alarm"", ""Iron"", ""Hangers"", ""Dishes and silverware"", ""Cable TV""]",$745.00,1,60,1,2,60,60,1.3,60.0,,t,0,0,0,171,2020-10-25,163,6,0,2011-10-30,2019-12-21,98,10,10,10,10,9,10,,f,1,1,0,0,1.49
274589,https://www.airbnb.com/rooms/274589,20201025050911,2020-10-25,"8 mins HKCEC, 5 mins MTR Wan Chai, nr Causeway Bay","<b>The space</b><br />Newly painted and re-furnished two bedrooms apartment in the heart of Wanchai.  With many good restaurants, pubs & bars nearby - In fact our apartment is located on top of some of them for maximum convenience and it is already fitted with double glazed windows to help ensure that the outside noise is kept to the minimum.<br /><br />Our apartment can comfortably accommodate up to 4 persons, we provide:-<br /><br />Bedroom 1:  double bed 137 cm x 183 cm / 54"" x 72""<br />Bedroom 2:  double bed 137 cm x 183 cm / 54"" x 72"" <br />Living room:  sofa bed 140 cm x 200 cm / 55"" x 78""<br /><br />All with fresh clean bedding & bath towels just before your arrival.<br /><br />Amenities: <br />37"" LCD TV<br />Sky TV<br />Free high speed internet (both WIFI and LAN available)<br />Microwave<br />Toaster <br />Kettle<br />Gas stove<br />Refrigerator<br />Ceiling fan<br />Washing machine with dryer (with detergent provided)<br />Basic cooking utensils<br />Split type air-condition",,https://a0.muscache.com/pictures/miso/Hosting-274589/original/3e98bb96-2d09-44be-9233-dbb90dada3e9.jpeg,1435069,https://www.airbnb.com/users/show/1435069,Shanshan,2011-11-23,Hong Kong,"Hi!  Everybody, my name is Shanshan.

I love travelling myself, it's so nice to go to different places and to make new friends.  Running a BNB is just as fun, I do my best to take good care of my guests' needs in every aspect.  Being a local, I am sure I can assist and give advice whenever necessary.

Hong Kong is an amazing place to visit and I look forward to welcoming you to stay at our apartment.",within an hour,100%,94%,f,https://a0.muscache.com/im/users/1435069/profile_pic/1322031194/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1435069/profile_pic/1322031194/original.jpg?aki_policy=profile_x_medium,Wan Chai,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,f,,Wan Chai,,22.27928,114.17124,Entire apartment,Entire home/apt,4,,1 bath,2,3,"[""Shampoo"", ""Refrigerator"", ""Air conditioning"", ""Microwave"", ""Iron"", ""Essentials"", ""Kitchen"", ""Hot water"", ""Hangers"", ""Elevator"", ""Stove"", ""Dishes and silverware"", ""Hair dryer"", ""Wifi"", ""Washer"", ""TV"", ""Dryer"", ""Cooking basics"", ""Cable TV"", ""First aid kit""]","$1,008.00",7,1125,7,7,1125,1125,7.0,1125.0,,t,30,60,90,282,2020-10-25,241,4,0,2011-12-16,2020-07-18,95,10,9,10,10,10,9,,t,1,1,0,0,2.23
